buyerId,investorId,buyerRisk,investorRisk,buyerBudgetMax,investorMaxDeal,locationMatch,matchScore
HB0479,INV0274,High,Medium,16965593,799939,0,0.17
HB0125,INV0445,Low,Medium,15329846,2036523,0,0.22
HB0398,INV0476,Low,Low,8743150,4264226,0,0.54
HB0083,INV0398,Low,Low,7899162,5807780,0,0.67
HB0168,INV0120,Low,High,8845191,726368,0,0.19
HB0446,INV0199,Medium,High,15987129,2330493,0,0.22
HB0313,INV0224,High,Medium,15143658,716609,0,0.17
HB0145,INV0273,Low,High,10729532,555679,0,0.18
HB0089,INV0227,Medium,Low,15454849,1969881,0,0.21
HB0464,INV0257,High,Medium,13832736,1946845,0,0.22
HB0414,INV0022,Low,Medium,12106179,8982273,0,0.52
HB0101,INV0107,Low,Low,14004341,4920085,0,0.48
HB0253,INV0013,High,High,15082376,5853785,1,0.69
HB0298,INV0152,Low,Medium,15856936,2684752,0,0.23
HB0204,INV0393,Medium,Low,13258214,1278296,0,0.2
HB0273,INV0256,Low,Medium,14661975,882180,0,0.18
HB0290,INV0202,Low,High,12853162,9146058,0,0.51
HB0328,INV0450,High,Medium,14207405,2279445,0,0.23
HB0194,INV0099,Medium,Low,16436653,1662944,0,0.2
HB0126,INV0442,Medium,High,7651857,562051,0,0.19
HB0062,INV0020,Low,Medium,12468834,7970777,0,0.47
HB0452,INV0170,Medium,Medium,17571493,1451355,0,0.34
HB0191,INV0219,High,High,9967488,2577129,0,0.43
HB0340,INV0096,Medium,Low,9888730,3784910,0,0.34
HB0403,INV0303,Low,Low,17075347,3085897,0,0.39
HB0482,INV0024,Medium,Medium,14505128,6236921,0,0.51
HB0470,INV0398,Low,Low,15447686,5807780,0,0.49
HB0350,INV0420,Low,High,10815247,8560835,0,0.55
HB0008,INV0225,Low,Medium,6903358,595249,0,0.19
HB0443,INV0344,High,High,10930724,3469773,0,0.46
HB0014,INV0351,Medium,High,15310181,2857125,0,0.24
HB0339,INV0319,Low,High,8827861,1741104,0,0.25
HB0246,INV0278,Low,Low,10947173,820367,0,0.34
HB0327,INV0389,High,Low,10562824,1366189,0,0.21
HB0387,INV0283,Medium,High,11528928,1635145,0,0.22
HB0407,INV0263,High,High,16194072,1536525,0,0.35
HB0037,INV0375,Low,High,18013111,3311108,0,0.24
HB0112,INV0441,High,Medium,8556549,1035270,0,0.21
HB0495,INV0244,Medium,High,16246732,3609016,0,0.26
HB0335,INV0366,Low,Medium,12495297,6175234,0,0.4
HB0499,INV0136,Low,Low,13831808,388609,1,0.51
HB0454,INV0109,Low,High,9306228,3193779,0,0.32
HB0061,INV0492,High,High,14629585,1512999,0,0.35
HB0169,INV0155,Low,High,10128049,4188315,0,0.36
HB0026,INV0495,High,Medium,12318856,4750887,0,0.34
HB0034,INV0040,Low,Low,14750087,377221,0,0.31
HB0064,INV0096,Low,Low,9739414,3784910,0,0.49
HB0136,INV0385,Low,Low,17839691,5790381,0,0.46
HB0134,INV0206,High,Low,12965297,513878,0,0.17
HB0023,INV0371,Medium,High,17458517,4523719,0,0.28
HB0068,INV0183,Low,High,18321925,5796919,0,0.31
HB0078,INV0362,Medium,High,8747532,3314121,0,0.34
HB0449,INV0111,Low,Medium,17106075,3067565,0,0.24
HB0051,INV0132,Low,Low,9790249,3012703,0,0.45
HB0288,INV0453,High,Medium,15313993,777445,0,0.18
HB0226,INV0331,Medium,Low,8695228,1660893,0,0.25
HB0237,INV0028,Low,Medium,16190428,1026093,0,0.18
HB0189,INV0174,High,Low,10800996,1035720,0,0.2
HB0416,INV0108,Low,High,15941217,3947645,0,0.27
HB0134,INV0474,High,High,12965297,603568,0,0.32
HB0413,INV0098,Low,High,14093934,2426965,0,0.24
HB0388,INV0374,Medium,High,12120676,4955153,0,0.35
