Price,Area,Location,No. of Bedrooms,New/Resale,Gymnasium,Lift Available,Car Parking,Maintenance Staff,24x7 Security,Children's Play Area,Clubhouse,Intercom,Landscaped Gardens,Indoor Games,Gas Connection,Jogging Track,Swimming Pool,Price_per_SqFt,Area_per_Bedroom,Amenity_Score
4850000,720,Kharghar,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,6736.111111111111,720.0,4
4500000,600,Kharghar,1,0,1,1,1,1,1,0,1,0,0,0,0,1,1,7500.0,600.0,8
6700000,650,Kharghar,1,0,1,1,1,1,1,1,1,1,0,0,0,1,1,10307.692307692309,650.0,10
4500000,650,Kharghar,1,0,0,1,1,1,1,0,0,1,1,0,0,0,0,6923.076923076923,650.0,6
5000000,665,Kharghar,1,0,0,1,1,1,1,0,0,1,1,0,0,0,0,7518.796992481203,665.0,6
17000000,2000,Kharghar,4,0,1,1,1,1,1,1,1,1,1,0,0,1,1,8500.0,500.0,11
12500000,1550,Kharghar,3,0,0,1,1,1,1,0,0,1,1,0,1,0,0,8064.5161290322585,516.6666666666666,7
10500000,1370,Sector-13 Kharghar,3,0,0,1,1,1,1,0,0,1,0,0,0,0,0,7664.233576642336,456.6666666666667,5
10500000,1356,Kharghar,3,0,1,1,1,1,1,0,1,1,0,0,0,1,1,7743.362831858407,452.0,9
15000000,1680,Kharghar,3,0,1,1,1,1,1,1,1,1,1,1,1,1,1,8928.57142857143,560.0,13
8700000,980,Kharghar,2,0,1,1,1,1,1,0,1,1,0,1,0,1,1,8877.551020408164,490.0,10
9000000,1000,Kharghar,2,0,1,1,1,1,1,1,0,1,1,0,0,0,0,9000.0,500.0,8
11000000,1060,Kharghar,2,0,1,1,1,1,1,1,1,1,1,0,0,0,1,10377.358490566037,530.0,10
10500000,1095,Kharghar,2,0,1,1,1,1,1,1,1,1,1,1,0,0,1,9589.04109589041,547.5,11
9700000,1155,Kharghar,2,0,1,1,1,1,1,1,1,1,1,0,0,1,1,8398.268398268398,577.5,11
