locality,latitude,longitude
Acc Cement Road,19.180456,72.95842
Adarsh Nagar,19.014942,72.821365
Additional M.I.D.C,19.187177,73.191494
Adharwadi,19.252434,73.125969
Agasan Village,19.046006,72.943802
Agripada,19.018738,72.838592
Airoli,19.154239,72.99454
Altamount Road,18.965179,72.809486
Ambarnath,19.206192,73.195933
Ambernath,19.231192,73.226484
Ambivali,19.194429,73.12199
Ambivli,19.26741,73.173386
Amboli,19.128128,72.841522
Anand Nagar,19.083258,72.847343
"Anand Nagar,Dahisar",19.262088,72.861869
Andheri,19.166246,72.896276
Anjurdive,19.226402,73.03196
Antarli,19.161939,73.115452
Antop Hill,19.028692,72.865627
Anushakti Nagar,19.038107,72.923248
Arya Nagar,18.976677,72.811905
Asalpha,19.097272,72.894358
Asangaon,19.43778,73.305373
Ashok Nagar,19.213376,72.882408
Atgaon,19.503294,73.335709
Babhai,19.226358,72.846199
Badlapur,19.182346,73.275712
Balkum,19.21785,72.988869
Bandra,19.060729,72.843221
Bandra Kurla Complex,19.065396,72.857597
Bandstand,19.048281,72.820251
Battipada,19.150182,72.93759
Bdd Chawls Worli,19.002447,72.819489
Belapur,19.015948,73.035562
Beturkar Pada,19.248274,73.12706
Beverly Park,19.293882,72.87149
Bhakti Park Wadala,19.029224,72.879608
Bhandup,19.159568,72.970202
Bhayandar,19.293478,72.865271
Bhiwandi,19.293611,73.09212
Bhuleshwar,18.956781,72.826859
Bkc Bandra,19.068789,72.870262
Boisar,19.836358,73.017951
Bolinj,19.442865,72.793968
Bolinj Naka,19.444542,72.794167
Bopele,19.225672,73.100281
Borivali,19.226862,72.857221
Borivali Old Mhb Colony,19.233002,72.838997
Breach Candy,18.973936,72.805511
Byculla,18.979153,72.836414
Cbd Belapur,19.023485,73.03849
Century Mills,19.008089,72.826256
Chakala,19.09626,72.85638
Chandivali,19.109848,72.895714
Charkop,19.209569,72.816534
Charkop Sector 8,19.216097,72.814766
Charni Road,18.955437,72.820127
Chedda Nagar,19.065953,72.903627
Chembur,19.067791,72.911577
Chikan Ghar,19.246058,73.142136
Chinchodyacha Pada,19.227643,73.089551
Chincholi Bunder,19.178842,72.84284
Chinchpada,19.210272,73.13768
Chinchpada Gaon,19.211905,73.136889
Chinchpokli,18.983546,72.834143
Churchgate,18.93289,72.825699
Colaba,18.918429,72.826129
Crawford Market,18.94639,72.834969
Cuffe Parade,18.915348,72.8216
Cumballa Hill,18.970377,72.805795
Dadar,19.020284,72.843799
Dahanu,19.982639,72.73716
Dahisar,19.26363,72.864133
Damat,19.048088,73.313232
Dattapada,19.22209,72.856346
Deonar,19.050823,72.915769
Desale Pada,19.188608,73.08371
Devad,18.992155,73.133575
Dharavi,19.045675,72.856537
Dighe,19.179678,73.006218
Dindoshi,19.175742,72.86154
Diva,19.182221,73.044605
Diva Gaon,19.173127,73.044438
Dn Nagar,19.126324,72.832478
Dockyard Road,18.968439,72.843384
Dombivali,19.206181,73.099651
Dombivli,19.223253,73.080897
Dronagiri,18.897127,73.121932
Eksar,19.238424,72.854075
Ekta Nagar,19.20195,72.829506
Ern Express Highway Vikhroli,22.681897,76.903806
Evershine Nagar,19.193655,72.832677
Fort,18.938968,72.835739
Gamdevi,18.95853,72.812164
Gawand Baug,19.225897,72.960083
Ghansoli,19.140482,73.007318
Ghansoli Gaon,19.126162,72.997589
Ghati Pada,19.184395,72.940581
Ghatkopar,19.086183,72.912767
Ghodbunder Road,19.279094,72.930859
Ghodbunder Thane,19.2868,72.89315
Girgaon,18.955935,72.824206
Gokuldham Colony,19.175911,72.866048
Gorai 1,19.225498,72.833138
Gorai 2,19.111691,72.921623
Goregaon,19.162915,72.85665
Govandi,19.053548,72.916534
Grant Road,18.960532,72.820044
Greater Khanda,19.009006,73.102712
Haji Malang Road Kalyan E,19.219625,73.1259
Haranwali,19.657787,72.762177
Hariyali,19.10615,72.933644
Haware City,19.260979,72.959961
Hendre Pada,19.17034,73.251187
Hiranandani Estates,19.256071,72.979174
Hiranandani Gardens Powai,19.116551,72.911847
Hiranandani Meadows,19.254681,72.982002
Ibhadpada,28.517834,77.269924
Irani Wadi,19.201822,72.83886
J B Nagar,19.10922,72.867058
Jacob Circle,18.981834,72.82928
Jambli Naka,19.190454,72.978867
Jambrung,19.013015,73.530168
Jari Mari,19.091862,72.882591
Jawahar Nagar,19.160553,72.847855
Jawhar,19.916727,73.228729
Jogeshwari,19.155088,72.853212
Joveli Gaon,19.142523,73.246445
Juhu,19.107463,72.831173
Juhu Scheme,19.107803,72.828217
Juhu Tara,19.102253,72.826973
Juinagar,19.051141,73.015277
Jvlr,19.138869,72.863094
Jvpd Scheme,19.111423,72.831754
Kalamboli,19.010253,73.127774
Kalbadevi,18.94938,72.827985
Kalina,19.074332,72.862567
Kalwa,19.204658,73.004572
Kalyan,19.24874,73.144706
Kalyan Shilphata Road,19.167501,73.078011
Kamathipura,18.967663,72.819099
Kamothe,19.013727,73.105175
Kandivali,19.226969,72.876141
Kanjur Marg,19.134489,72.917702
Kanjur Village,19.132823,72.939916
Kanjurmarg,19.133004,72.932884
Kannamwar Nagar 1,19.115903,72.940013
Karanjade,18.980688,73.104147
Karanjade Panvel,18.973288,73.109879
Karjat,18.912639,73.337278
Kasar Vadavali,19.268015,72.970472
Kasaradavali Thane,19.268559,72.969161
Kasheli,19.234823,73.014938
Kewale,18.995242,73.123987
Khadakpada,19.25329,73.136635
Khalapur,18.831699,73.285698
Khanda Colony,19.00613,73.112633
Khar,19.07105,72.839681
Khar Danda,19.079447,72.827835
Khardi,19.583544,73.386681
Kharghar,19.076162,73.086256
Kharodi,19.196295,72.818344
Khopoli,18.795444,73.303873
Kiravli Village,19.097485,73.058632
Kolegaon,19.16951,73.088837
Kolhare,19.027023,73.334808
Kolshet,19.240211,72.995834
Kolshet Road,19.232168,72.987412
Kolshet Road Thane,19.232069,72.987343
Kon,18.958954,73.150978
Kongaon,19.241711,73.105507
Koparkhairane Station Road,19.109888,73.0028
Koper Khairane,19.095861,73.044549
Koproli,19.428615,73.469021
Kurla,19.070369,72.887807
Lalbaug,18.988378,72.835489
Lbs Marg,19.106737,72.923795
Lbs Marg Mulund,19.174349,72.942848
Lic Colony,19.239885,72.850807
Lodhivali,19.020955,73.204523
Lokhandwala Andheri,19.140519,72.82624
Lokhandwala Complex,19.14414,72.819717
Lonavala,18.74939,73.408073
Louis Wadi,19.19681,72.960449
Lower Parel,19.010388,72.827445
Madanpura,18.9713,72.825203
Madh,19.157719,72.792072
Magathane,19.218579,72.866694
Mahalaxmi,18.983624,72.823999
Mahim,19.052193,72.840768
Majiwada,19.215929,72.990589
Makane Kapase,19.573418,72.806577
Malabar Hill,18.95441,72.800856
Malad,19.194857,72.868829
Malad Mithchowki,19.196613,72.83519
Mandvi,18.955723,72.837563
Maneklal Estate,19.09083,72.901543
Manjarli,19.182119,73.239143
Mankhurd,19.053424,72.932608
Manor,21.377474,72.677086
